locale	youtube_url	title
en-US	https://youtu.be/twQv3naz1l4	Hope Cards – Daily Bible Verse App
de-DE	https://youtu.be/736kFhTRshU	Hope Cards – Tägliche Bibelverse
fr-FR	https://youtu.be/pEV9on8v-pA	Hope Cards – Verset biblique du jour
it-IT	https://youtu.be/AYYJP5cKIXE	Hope Cards – Versetto biblico del giorno
es-419	https://youtu.be/NAfXtbAiW2E	Hope Cards – Versículo bíblico diario
fil-PH	https://youtu.be/msvwrg6e5Po	Hope Cards – Araw-araw na Talata sa Biblia
ml-IN	https://youtu.be/nu3CzkbKRcc	Hope Cards – ദൈനംദിന ബൈബിൾ വാക്യം
