locale	title	file
de-DE	Hope Cards – Tägliche Bibelverse	assets/store/videos/de-DE/hope-cards-promo-de-DE.mp4
en-US	Hope Cards – Daily Bible Verse App	assets/store/videos/en-US/hope-cards-promo-en-US.mp4
es-419	Hope Cards – Versículo bíblico diario	assets/store/videos/es-419/hope-cards-promo-es-419.mp4
fil-PH	Hope Cards – Araw-araw na Talata sa Biblia	assets/store/videos/fil-PH/hope-cards-promo-fil-PH.mp4
fr-FR	Hope Cards – Verset biblique du jour	assets/store/videos/fr-FR/hope-cards-promo-fr-FR.mp4
it-IT	Hope Cards – Versetto biblico del giorno	assets/store/videos/it-IT/hope-cards-promo-it-IT.mp4
ml-IN	Hope Cards – ദൈനംദിന ബൈബിൾ വാക്യം	assets/store/videos/ml-IN/hope-cards-promo-ml-IN.mp4
